Timestamp,CAM  Average,CCM  Average,COR  Average
2017-08-11  18:28:19.084,0,0,0
2017-08-11  18:33:19.087,0,0,0
2017-08-11  18:38:19.090,72,0,0
2017-08-11  18:43:19.092,9,0,0
2017-08-11  18:48:19.093,13,0,0
2017-08-11  18:53:19.095,11,0,0
2017-08-11  18:58:19.097,15,0,0
2017-08-11  19:03:19.099,10,0,0
2017-08-11  19:08:19.101,2,0,0
2017-08-11  19:13:19.102,11,0,0
2017-08-11  19:18:19.104,8,0,0
2017-08-11  19:23:19.107,12,0,0
2017-08-11  19:28:19.109,8,1,0
2017-08-11  19:33:19.111,10,3,0
2017-08-11  19:38:19.112,14,2,0
2017-08-11  19:43:19.149,13,2,0
2017-08-11  19:48:19.117,12,3,0
2017-08-11  19:53:19.119,5,3,0
2017-08-11  19:58:19.121,10,4,0
2017-08-11  20:03:19.123,9,6,0
2017-08-11  20:08:19.125,7,3,0
2017-08-11  20:13:19.126,12,5,0
2017-08-11  20:18:19.128,8,13,0
2017-08-11  20:23:19.130,17,7,0
2017-08-11  20:28:19.166,12,12,0
2017-08-11  20:33:19.168,13,7,0
2017-08-11  20:38:19.135,5,12,0
2017-08-11  20:43:19.136,10,14,0
2017-08-11  20:48:19.137,10,7,0
2017-08-11  20:53:19.173,8,7,0
2017-08-11  20:58:19.142,10,6,0
2017-08-11  21:03:19.144,8,15,0
2017-08-11  21:08:19.146,13,8,0
2017-08-11  21:13:19.148,13,15,0
2017-08-11  21:18:19.186,14,6,0
2017-08-11  21:23:19.153,7,14,0
2017-08-11  21:28:19.154,10,9,0
2017-08-11  21:33:19.156,8,10,0
2017-08-11  21:38:19.159,7,7,0
2017-08-11  21:43:19.159,9,7,0
2017-08-11  21:48:19.162,8,16,0
2017-08-11  21:53:19.164,15,8,0
2017-08-11  21:58:19.166,12,13,0
2017-08-11  22:03:19.168,15,6,0
2017-08-11  22:08:19.204,7,13,0
2017-08-11  22:13:19.204,8,11,0
2017-08-11  22:18:19.173,12,8,0
2017-08-11  22:23:19.176,5,7,0
2017-08-11  22:28:19.213,10,7,0
2017-08-11  22:33:19.215,6,16,0
2017-08-11  22:38:19.182,11,8,0
2017-08-11  22:43:19.184,15,13,0
2017-08-11  22:48:19.185,14,8,0
2017-08-11  22:53:19.223,11,10,0
2017-08-11  22:58:19.189,8,9,0
2017-08-11  23:03:19.191,9,11,0
2017-08-11  23:08:19.193,8,8,0
2017-08-11  23:13:19.194,8,8,0
2017-08-11  23:18:19.231,9,13,0
2017-08-11  23:23:19.199,9,9,0
2017-08-11  23:28:19.201,15,12,0
2017-08-11  23:33:19.203,12,8,0
2017-08-11  23:38:19.205,10,10,0
2017-08-11  23:43:19.206,10,10,0
2017-08-11  23:48:19.208,10,11,0
2017-08-11  23:53:19.211,9,7,0
2017-08-11  23:58:19.212,6,8,0
2017-08-12  00:03:19.215,10,10,0
2017-08-12  00:08:19.216,7,11,0
