Timestamp,UPDATE_CCDSR_ACCEPTATION_MESSAGE,UPDATE_CCDSR_REJECTION_MESSAGE,FP_UPDATE_SUBSCRIPTION_CLIENT_MESSAGES_EVENT,FP_END_OF_UPDATE_MESSAGES_EVENT
2017-08-11  18:22:26.156,0,0,0,0
2017-08-11  18:27:26.158,0,0,0,0
2017-08-11  18:32:26.159,0,0,0,0
2017-08-11  18:37:26.160,1,0,1,0
2017-08-11  18:42:26.162,4,0,4,0
2017-08-11  18:47:26.163,3,0,3,0
2017-08-11  18:52:26.165,9,0,9,0
2017-08-11  18:57:26.166,5,0,5,0
2017-08-11  19:02:26.167,11,0,11,0
2017-08-11  19:07:26.169,7,0,7,0
2017-08-11  19:12:26.170,7,0,7,0
2017-08-11  19:17:26.171,10,0,10,0
2017-08-11  19:22:26.173,7,0,7,0
2017-08-11  19:27:26.174,12,0,12,0
2017-08-11  19:32:26.176,9,0,9,0
2017-08-11  19:37:26.177,17,0,15,2
2017-08-11  19:42:26.179,12,0,12,0
2017-08-11  19:47:26.180,15,0,13,2
2017-08-11  19:52:26.182,16,0,16,0
2017-08-11  19:57:26.183,12,0,11,1
2017-08-11  20:02:26.184,15,0,12,3
2017-08-11  20:07:26.186,9,0,8,1
2017-08-11  20:12:26.188,17,0,16,1
2017-08-11  20:17:26.189,17,0,13,4
2017-08-11  20:22:26.190,15,0,14,1
2017-08-11  20:27:26.192,20,0,14,6
2017-08-11  20:32:26.193,12,0,11,1
2017-08-11  20:37:26.194,21,0,21,0
2017-08-11  20:42:26.196,16,0,13,3
2017-08-11  20:47:26.197,21,0,16,5
2017-08-11  20:52:26.199,8,0,6,2
2017-08-11  20:57:26.201,18,0,17,1
2017-08-11  21:02:26.202,14,0,11,3
2017-08-11  21:07:26.203,17,0,15,2
2017-08-11  21:12:26.204,19,0,16,3
2017-08-11  21:17:26.206,13,0,9,4
2017-08-11  21:22:26.207,22,0,21,1
2017-08-11  21:27:26.211,15,0,14,1
2017-08-11  21:32:26.210,18,0,13,5
2017-08-11  21:37:26.212,12,0,8,4
2017-08-11  21:42:26.216,15,0,15,0
2017-08-11  21:47:26.215,16,0,13,3
2017-08-11  21:52:26.216,11,0,11,0
2017-08-11  21:57:26.218,20,0,16,4
2017-08-11  22:02:26.220,16,0,12,4
2017-08-11  22:07:26.224,22,0,20,2
2017-08-11  22:12:26.223,15,0,14,1
2017-08-11  22:17:26.224,15,0,11,4
2017-08-11  22:22:26.226,13,0,10,3
2017-08-11  22:27:26.227,13,0,12,1
2017-08-11  22:32:26.229,19,0,15,4
2017-08-11  22:37:26.231,6,0,6,0
2017-08-11  22:42:26.232,23,0,19,4
2017-08-11  22:47:26.233,19,0,16,3
2017-08-11  22:52:26.235,20,0,18,2
2017-08-11  22:57:26.236,14,2,15,1
2017-08-11  23:02:26.238,15,0,10,5
2017-08-11  23:07:26.242,16,2,13,5
2017-08-11  23:12:26.240,12,0,10,2
2017-08-11  23:17:26.242,14,0,14,0
2017-08-11  23:22:26.245,12,0,10,2
2017-08-11  23:27:26.245,23,0,18,5
2017-08-11  23:32:26.246,17,0,13,4
2017-08-11  23:37:26.248,17,12,16,13
2017-08-11  23:42:26.249,18,0,18,0
2017-08-11  23:47:26.250,13,1,10,4
2017-08-11  23:52:26.252,17,0,13,4
2017-08-11  23:57:26.253,12,1,10,3
2017-08-12  00:02:26.255,15,1,13,3
2017-08-12  00:07:26.259,15,0,12,3
2017-08-12  00:12:26.258,18,1,17,2
2017-08-12  00:17:26.262,17,3,14,6
2017-08-12  00:22:26.263,15,0,12,3
2017-08-12  00:27:26.264,22,0,21,1
2017-08-12  00:32:26.266,14,2,11,5
2017-08-12  00:37:26.265,16,0,13,3
2017-08-12  00:42:26.266,10,1,8,3
2017-08-12  00:47:26.268,14,0,12,2
2017-08-12  00:52:26.269,16,0,14,2
2017-08-12  00:57:26.274,11,1,9,3
2017-08-12  01:02:26.272,21,2,17,6
2017-08-12  01:07:26.273,20,0,15,5
2017-08-12  01:12:26.274,21,0,20,1
2017-08-12  01:17:26.279,14,3,14,3
2017-08-12  01:22:26.277,16,0,13,3
2017-08-12  01:27:26.279,14,1,10,5
2017-08-12  01:32:26.280,12,1,11,2
2017-08-12  01:37:26.282,13,0,11,2
2017-08-12  01:42:26.283,11,1,10,2
2017-08-12  01:47:26.287,21,1,18,4
2017-08-12  01:52:26.286,15,0,13,2
2017-08-12  01:57:26.288,20,0,18,2
2017-08-12  02:02:26.289,16,4,16,4
2017-08-12  02:07:26.290,16,0,11,5
2017-08-12  02:12:26.292,16,1,14,3
2017-08-12  02:17:26.293,10,0,8,2
2017-08-12  02:22:26.294,15,0,13,2
2017-08-12  02:27:26.299,15,0,13,2
2017-08-12  02:32:26.297,18,2,16,4
2017-08-12  02:37:26.299,18,1,13,6
2017-08-12  02:42:26.300,20,0,17,3
2017-08-12  02:47:26.303,16,1,15,2
2017-08-12  02:52:26.306,15,0,13,2
2017-08-12  02:57:26.304,16,0,14,2
2017-08-12  03:02:26.308,14,2,10,6
2017-08-12  03:07:26.307,14,0,12,2
2017-08-12  03:12:26.308,15,2,14,3
2017-08-12  03:17:26.313,12,1,11,2
2017-08-12  03:22:26.313,18,1,15,4
2017-08-12  03:27:26.313,17,0,14,3
2017-08-12  03:32:26.314,21,2,20,3
2017-08-12  03:37:26.316,16,0,15,1
2017-08-12  03:42:26.317,15,0,12,3
2017-08-12  03:47:26.318,16,1,11,6
2017-08-12  03:52:26.322,9,0,8,1
2017-08-12  03:57:26.324,20,0,15,5
2017-08-12  04:02:26.323,10,3,8,5
2017-08-12  04:07:26.324,20,1,17,4
2017-08-12  04:12:26.326,21,0,16,5
2017-08-12  04:17:26.330,23,0,22,1
2017-08-12  04:22:26.331,14,1,12,3
2017-08-12  04:27:26.332,16,0,12,4
2017-08-12  04:32:26.334,17,2,13,6
2017-08-12  04:37:26.333,6,0,6,0
2017-08-12  04:42:26.335,15,0,14,1
2017-08-12  04:47:26.336,13,1,11,3
2017-08-12  04:52:26.340,16,1,13,4
2017-08-12  04:57:26.339,22,1,19,4
2017-08-12  05:02:26.343,19,1,16,4
2017-08-12  05:07:26.345,19,1,17,3
2017-08-12  05:12:26.344,14,0,9,5
2017-08-12  05:17:26.345,22,0,18,4
2017-08-12  05:22:26.346,5,1,5,1
2017-08-12  05:27:26.348,15,0,14,1
2017-08-12  05:32:26.352,13,2,11,4
2017-08-12  05:37:26.351,11,1,10,2
2017-08-12  05:42:26.355,27,3,22,8
2017-08-12  05:47:26.354,13,1,10,4
2017-08-12  05:52:26.355,23,3,23,3
2017-08-12  05:57:26.357,11,0,11,0
2017-08-12  06:02:26.358,22,5,18,9
2017-08-12  06:07:26.362,10,1,6,5
2017-08-12  06:12:26.363,10,0,10,0
2017-08-12  06:17:26.363,16,1,14,3
2017-08-12  06:22:26.367,7,1,7,1
2017-08-12  06:27:26.366,24,1,18,7
