Timestamp,UPDATE_CCDSR_ACCEPTATION_MESSAGE,UPDATE_CCDSR_REJECTION_MESSAGE,FP_UPDATE_SUBSCRIPTION_CLIENT_MESSAGES_EVENT,FP_END_OF_UPDATE_MESSAGES_EVENT
2017-08-11  18:22:26.156,0,0,0,0
2017-08-11  18:27:26.158,0,0,0,0
2017-08-11  18:32:26.159,0,0,0,0
2017-08-11  18:37:26.160,1,0,1,0
2017-08-11  18:42:26.162,5,0,5,0
2017-08-11  18:47:26.163,8,0,8,0
2017-08-11  18:52:26.165,17,0,17,0
2017-08-11  18:57:26.166,22,0,22,0
2017-08-11  19:02:26.167,33,0,33,0
2017-08-11  19:07:26.169,40,0,40,0
2017-08-11  19:12:26.170,47,0,47,0
2017-08-11  19:17:26.171,57,0,57,0
2017-08-11  19:22:26.173,64,0,64,0
2017-08-11  19:27:26.174,76,0,76,0
2017-08-11  19:32:26.176,85,0,85,0
2017-08-11  19:37:26.177,102,0,100,2
2017-08-11  19:42:26.179,114,0,112,2
2017-08-11  19:47:26.180,129,0,125,4
2017-08-11  19:52:26.182,145,0,141,4
2017-08-11  19:57:26.183,157,0,152,5
2017-08-11  20:02:26.184,172,0,164,8
2017-08-11  20:07:26.186,181,0,172,9
2017-08-11  20:12:26.188,198,0,188,10
2017-08-11  20:17:26.189,215,0,201,14
2017-08-11  20:22:26.190,230,0,215,15
2017-08-11  20:27:26.192,250,0,229,21
2017-08-11  20:32:26.193,262,0,240,22
2017-08-11  20:37:26.194,283,0,261,22
2017-08-11  20:42:26.196,299,0,274,25
2017-08-11  20:47:26.197,320,0,290,30
2017-08-11  20:52:26.199,328,0,296,32
2017-08-11  20:57:26.201,346,0,313,33
2017-08-11  21:02:26.202,360,0,324,36
2017-08-11  21:07:26.203,377,0,339,38
2017-08-11  21:12:26.204,396,0,355,41
2017-08-11  21:17:26.206,409,0,364,45
2017-08-11  21:22:26.207,431,0,385,46
2017-08-11  21:27:26.211,446,0,399,47
2017-08-11  21:32:26.210,464,0,412,52
2017-08-11  21:37:26.212,476,0,420,56
2017-08-11  21:42:26.216,491,0,435,56
2017-08-11  21:47:26.215,507,0,448,59
2017-08-11  21:52:26.216,518,0,459,59
2017-08-11  21:57:26.218,538,0,475,63
2017-08-11  22:02:26.220,554,0,487,67
2017-08-11  22:07:26.224,576,0,507,69
2017-08-11  22:12:26.223,591,0,521,70
2017-08-11  22:17:26.224,606,0,532,74
2017-08-11  22:22:26.226,619,0,542,77
2017-08-11  22:27:26.227,632,0,554,78
2017-08-11  22:32:26.229,651,0,569,82
2017-08-11  22:37:26.231,657,0,575,82
2017-08-11  22:42:26.232,680,0,594,86
2017-08-11  22:47:26.233,699,0,610,89
2017-08-11  22:52:26.235,719,0,628,91
2017-08-11  22:57:26.236,733,2,643,92
2017-08-11  23:02:26.238,748,2,653,97
2017-08-11  23:07:26.242,764,4,666,102
2017-08-11  23:12:26.240,776,4,676,104
2017-08-11  23:17:26.242,790,4,690,104
2017-08-11  23:22:26.245,802,4,700,106
2017-08-11  23:27:26.245,825,4,718,111
2017-08-11  23:32:26.246,842,4,731,115
2017-08-11  23:37:26.248,859,16,747,128
2017-08-11  23:42:26.249,877,16,765,128
2017-08-11  23:47:26.250,890,17,775,132
2017-08-11  23:52:26.252,907,17,788,136
2017-08-11  23:57:26.253,919,18,798,139
2017-08-12  00:02:26.255,934,19,811,142
2017-08-12  00:07:26.259,949,19,823,145
2017-08-12  00:12:26.258,967,20,840,147
2017-08-12  00:17:26.262,984,23,854,153
2017-08-12  00:22:26.263,999,23,866,156
2017-08-12  00:27:26.264,1021,23,887,157
2017-08-12  00:32:26.266,1035,25,898,162
2017-08-12  00:37:26.265,1051,25,911,165
2017-08-12  00:42:26.266,1061,26,919,168
2017-08-12  00:47:26.268,1075,26,931,170
2017-08-12  00:52:26.269,1091,26,945,172
2017-08-12  00:57:26.274,1102,27,954,175
2017-08-12  01:02:26.272,1123,29,971,181
2017-08-12  01:07:26.273,1143,29,986,186
2017-08-12  01:12:26.274,1164,29,1006,187
2017-08-12  01:17:26.279,1178,32,1020,190
2017-08-12  01:22:26.277,1194,32,1033,193
2017-08-12  01:27:26.279,1208,33,1043,198
2017-08-12  01:32:26.280,1220,34,1054,200
2017-08-12  01:37:26.282,1233,34,1065,202
2017-08-12  01:42:26.283,1244,35,1075,204
2017-08-12  01:47:26.287,1265,36,1093,208
2017-08-12  01:52:26.286,1280,36,1106,210
2017-08-12  01:57:26.288,1300,36,1124,212
2017-08-12  02:02:26.289,1316,40,1140,216
2017-08-12  02:07:26.290,1332,40,1151,221
2017-08-12  02:12:26.292,1348,41,1165,224
2017-08-12  02:17:26.293,1358,41,1173,226
2017-08-12  02:22:26.294,1373,41,1186,228
2017-08-12  02:27:26.299,1388,41,1199,230
2017-08-12  02:32:26.297,1406,43,1215,234
2017-08-12  02:37:26.299,1424,44,1228,240
2017-08-12  02:42:26.300,1444,44,1245,243
2017-08-12  02:47:26.303,1460,45,1260,245
2017-08-12  02:52:26.306,1475,45,1273,247
2017-08-12  02:57:26.304,1491,45,1287,249
2017-08-12  03:02:26.308,1505,47,1297,255
2017-08-12  03:07:26.307,1519,47,1309,257
2017-08-12  03:12:26.308,1534,49,1323,260
2017-08-12  03:17:26.313,1546,50,1334,262
2017-08-12  03:22:26.313,1564,51,1349,266
2017-08-12  03:27:26.313,1581,51,1363,269
2017-08-12  03:32:26.314,1602,53,1383,272
2017-08-12  03:37:26.316,1618,53,1398,273
2017-08-12  03:42:26.317,1633,53,1410,276
2017-08-12  03:47:26.318,1649,54,1421,282
2017-08-12  03:52:26.322,1658,54,1429,283
2017-08-12  03:57:26.324,1678,54,1444,288
2017-08-12  04:02:26.323,1688,57,1452,293
2017-08-12  04:07:26.324,1708,58,1469,297
2017-08-12  04:12:26.326,1729,58,1485,302
2017-08-12  04:17:26.330,1752,58,1507,303
2017-08-12  04:22:26.331,1766,59,1519,306
2017-08-12  04:27:26.332,1782,59,1531,310
2017-08-12  04:32:26.334,1799,61,1544,316
2017-08-12  04:37:26.333,1805,61,1550,316
2017-08-12  04:42:26.335,1820,61,1564,317
2017-08-12  04:47:26.336,1833,62,1575,320
2017-08-12  04:52:26.340,1849,63,1588,324
2017-08-12  04:57:26.339,1871,64,1607,328
2017-08-12  05:02:26.343,1890,65,1623,332
2017-08-12  05:07:26.345,1909,66,1640,335
2017-08-12  05:12:26.344,1923,66,1649,340
2017-08-12  05:17:26.345,1945,66,1667,344
2017-08-12  05:22:26.346,1950,67,1672,345
2017-08-12  05:27:26.348,1965,67,1686,346
2017-08-12  05:32:26.352,1978,69,1697,350
2017-08-12  05:37:26.351,1989,70,1707,352
2017-08-12  05:42:26.355,2016,73,1729,360
2017-08-12  05:47:26.354,2029,74,1739,364
2017-08-12  05:52:26.355,2052,77,1762,367
2017-08-12  05:57:26.357,2063,77,1773,367
2017-08-12  06:02:26.358,2085,82,1791,376
