Timestamp,UPDATE_CCDSR_ACCEPTATION_MESSAGE,UPDATE_CCDSR_REJECTION_MESSAGE,FP_UPDATE_SUBSCRIPTION_CLIENT_MESSAGES_EVENT,FP_END_OF_UPDATE_MESSAGES_EVENT
2017-08-11  18:22:26.156,0,0,0,0
2017-08-11  18:27:26.158,0,0,0,0
2017-08-11  18:32:26.159,0,0,0,0
2017-08-11  18:37:26.160,1,0,1,0
2017-08-11  18:42:26.162,5,0,5,0
2017-08-11  18:47:26.163,8,0,8,0
2017-08-11  18:52:26.165,17,0,17,0
2017-08-11  18:57:26.166,22,0,22,0
2017-08-11  19:02:26.167,33,0,33,0
2017-08-11  19:07:26.169,40,0,40,0
2017-08-11  19:12:26.170,47,0,47,0
2017-08-11  19:17:26.171,57,0,57,0
2017-08-11  19:22:26.173,64,0,64,0
2017-08-11  19:27:26.174,76,0,76,0
2017-08-11  19:32:26.176,85,0,85,0
2017-08-11  19:37:26.177,102,0,100,2
2017-08-11  19:42:26.179,114,0,112,2
2017-08-11  19:47:26.180,129,0,125,4
2017-08-11  19:52:26.182,145,0,141,4
2017-08-11  19:57:26.183,157,0,152,5
2017-08-11  20:02:26.184,172,0,164,8
2017-08-11  20:07:26.186,181,0,172,9
2017-08-11  20:12:26.188,198,0,188,10
2017-08-11  20:17:26.189,215,0,201,14
2017-08-11  20:22:26.190,230,0,215,15
2017-08-11  20:27:26.192,250,0,229,21
2017-08-11  20:32:26.193,262,0,240,22
2017-08-11  20:37:26.194,283,0,261,22
2017-08-11  20:42:26.196,299,0,274,25
2017-08-11  20:47:26.197,320,0,290,30
2017-08-11  20:52:26.199,328,0,296,32
2017-08-11  20:57:26.201,346,0,313,33
2017-08-11  21:02:26.202,360,0,324,36
2017-08-11  21:07:26.203,377,0,339,38
2017-08-11  21:12:26.204,396,0,355,41
2017-08-11  21:17:26.206,409,0,364,45
2017-08-11  21:22:26.207,431,0,385,46
2017-08-11  21:27:26.211,446,0,399,47
2017-08-11  21:32:26.210,464,0,412,52
2017-08-11  21:37:26.212,476,0,420,56
2017-08-11  21:42:26.216,491,0,435,56
2017-08-11  21:47:26.215,507,0,448,59
2017-08-11  21:52:26.216,518,0,459,59
2017-08-11  21:57:26.218,538,0,475,63
2017-08-11  22:02:26.220,554,0,487,67
2017-08-11  22:07:26.224,576,0,507,69
2017-08-11  22:12:26.223,591,0,521,70
2017-08-11  22:17:26.224,606,0,532,74
2017-08-11  22:22:26.226,619,0,542,77
2017-08-11  22:27:26.227,632,0,554,78
2017-08-11  22:32:26.229,651,0,569,82
2017-08-11  22:37:26.231,657,0,575,82
2017-08-11  22:42:26.232,680,0,594,86
2017-08-11  22:47:26.233,699,0,610,89
2017-08-11  22:52:26.235,719,0,628,91
2017-08-11  22:57:26.236,733,2,643,92
2017-08-11  23:02:26.238,748,2,653,97
2017-08-11  23:07:26.242,764,4,666,102
2017-08-11  23:12:26.240,776,4,676,104
2017-08-11  23:17:26.242,790,4,690,104
2017-08-11  23:22:26.245,802,4,700,106
2017-08-11  23:27:26.245,825,4,718,111
2017-08-11  23:32:26.246,842,4,731,115
2017-08-11  23:37:26.248,859,16,747,128
2017-08-11  23:42:26.249,877,16,765,128
2017-08-11  23:47:26.250,890,17,775,132
2017-08-11  23:52:26.252,907,17,788,136
2017-08-11  23:57:26.253,919,18,798,139
2017-08-12  00:02:26.255,15,1,13,3
2017-08-12  00:07:26.259,30,1,25,6
2017-08-12  00:12:26.258,48,2,42,8
2017-08-12  00:17:26.262,65,5,56,14
2017-08-12  00:22:26.263,80,5,68,17
2017-08-12  00:27:26.264,102,5,89,18
2017-08-12  00:32:26.266,116,7,100,23
2017-08-12  00:37:26.265,132,7,113,26
2017-08-12  00:42:26.266,142,8,121,29
2017-08-12  00:47:26.268,156,8,133,31
2017-08-12  00:52:26.269,172,8,147,33
2017-08-12  00:57:26.274,183,9,156,36
2017-08-12  01:02:26.272,204,11,173,42
2017-08-12  01:07:26.273,224,11,188,47
2017-08-12  01:12:26.274,245,11,208,48
2017-08-12  01:17:26.279,259,14,222,51
2017-08-12  01:22:26.277,275,14,235,54
2017-08-12  01:27:26.279,289,15,245,59
2017-08-12  01:32:26.280,301,16,256,61
2017-08-12  01:37:26.282,314,16,267,63
2017-08-12  01:42:26.283,325,17,277,65
2017-08-12  01:47:26.287,346,18,295,69
2017-08-12  01:52:26.286,361,18,308,71
2017-08-12  01:57:26.288,381,18,326,73
2017-08-12  02:02:26.289,397,22,342,77
2017-08-12  02:07:26.290,413,22,353,82
2017-08-12  02:12:26.292,429,23,367,85
2017-08-12  02:17:26.293,439,23,375,87
2017-08-12  02:22:26.294,454,23,388,89
2017-08-12  02:27:26.299,469,23,401,91
2017-08-12  02:32:26.297,487,25,417,95
2017-08-12  02:37:26.299,505,26,430,101
2017-08-12  02:42:26.300,525,26,447,104
2017-08-12  02:47:26.303,541,27,462,106
2017-08-12  02:52:26.306,556,27,475,108
2017-08-12  02:57:26.304,572,27,489,110
2017-08-12  03:02:26.308,586,29,499,116
2017-08-12  03:07:26.307,600,29,511,118
2017-08-12  03:12:26.308,615,31,525,121
2017-08-12  03:17:26.313,627,32,536,123
2017-08-12  03:22:26.313,645,33,551,127
2017-08-12  03:27:26.313,662,33,565,130
2017-08-12  03:32:26.314,683,35,585,133
2017-08-12  03:37:26.316,699,35,600,134
2017-08-12  03:42:26.317,714,35,612,137
2017-08-12  03:47:26.318,730,36,623,143
2017-08-12  03:52:26.322,739,36,631,144
2017-08-12  03:57:26.324,759,36,646,149
2017-08-12  04:02:26.323,769,39,654,154
2017-08-12  04:07:26.324,789,40,671,158
2017-08-12  04:12:26.326,810,40,687,163
2017-08-12  04:17:26.330,833,40,709,164
2017-08-12  04:22:26.331,847,41,721,167
2017-08-12  04:27:26.332,863,41,733,171
2017-08-12  04:32:26.334,880,43,746,177
2017-08-12  04:37:26.333,886,43,752,177
2017-08-12  04:42:26.335,901,43,766,178
2017-08-12  04:47:26.336,914,44,777,181
2017-08-12  04:52:26.340,930,45,790,185
2017-08-12  04:57:26.339,952,46,809,189
2017-08-12  05:02:26.343,971,47,825,193
2017-08-12  05:07:26.345,990,48,842,196
2017-08-12  05:12:26.344,1004,48,851,201
2017-08-12  05:17:26.345,1026,48,869,205
2017-08-12  05:22:26.346,1031,49,874,206
2017-08-12  05:27:26.348,1046,49,888,207
2017-08-12  05:32:26.352,1059,51,899,211
2017-08-12  05:37:26.351,1070,52,909,213
2017-08-12  05:42:26.355,1097,55,931,221
2017-08-12  05:47:26.354,1110,56,941,225
2017-08-12  05:52:26.355,1133,59,964,228
2017-08-12  05:57:26.357,1144,59,975,228
2017-08-12  06:02:26.358,1166,64,993,237
2017-08-12  06:07:26.362,1176,65,999,242
2017-08-12  06:12:26.363,1186,65,1009,242
2017-08-12  06:17:26.363,1202,66,1023,245
2017-08-12  06:22:26.367,1209,67,1030,246
