Timestamp,IFPL  Messages
2017-08-11  18:28:19.084,0
2017-08-11  18:33:19.087,0
2017-08-11  18:38:19.090,353
2017-08-11  18:43:19.092,362
2017-08-11  18:48:19.093,373
2017-08-11  18:53:19.095,380
2017-08-11  18:58:19.097,393
2017-08-11  19:03:19.099,402
2017-08-11  19:08:19.101,415
2017-08-11  19:13:19.102,425
2017-08-11  19:18:19.104,431
2017-08-11  19:23:19.107,441
2017-08-11  19:28:19.109,449
2017-08-11  19:33:19.111,461
2017-08-11  19:38:19.112,469
2017-08-11  19:43:19.149,482
2017-08-11  19:48:19.117,492
2017-08-11  19:53:19.119,501
2017-08-11  19:58:19.121,513
2017-08-11  20:03:19.123,521
2017-08-11  20:08:19.125,529
2017-08-11  20:13:19.126,536
2017-08-11  20:18:19.128,549
2017-08-11  20:23:19.130,558
2017-08-11  20:28:19.166,569
2017-08-11  20:33:19.168,580
2017-08-11  20:38:19.135,589
2017-08-11  20:43:19.136,601
2017-08-11  20:48:19.137,609
2017-08-11  20:53:19.173,617
2017-08-11  20:58:19.142,625
2017-08-11  21:03:19.144,637
2017-08-11  21:08:19.146,647
2017-08-11  21:13:19.148,654
2017-08-11  21:18:19.186,669
2017-08-11  21:23:19.153,674
2017-08-11  21:28:19.154,687
2017-08-11  21:33:19.156,699
2017-08-11  21:38:19.159,705
2017-08-11  21:43:19.159,715
2017-08-11  21:48:19.162,722
2017-08-11  21:53:19.164,732
2017-08-11  21:58:19.166,740
2017-08-11  22:03:19.168,754
2017-08-11  22:08:19.204,765
2017-08-11  22:13:19.204,777
2017-08-11  22:18:19.173,785
2017-08-11  22:23:19.176,793
2017-08-11  22:28:19.213,803
2017-08-11  22:33:19.215,811
2017-08-11  22:38:19.182,821
2017-08-11  22:43:19.184,831
2017-08-11  22:48:19.185,842
2017-08-11  22:53:19.223,851
2017-08-11  22:58:19.189,862
2017-08-11  23:03:19.191,872
2017-08-11  23:08:19.193,883
2017-08-11  23:13:19.194,891
2017-08-11  23:18:19.231,898
2017-08-11  23:23:19.199,910
2017-08-11  23:28:19.201,917
2017-08-11  23:33:19.203,927
2017-08-11  23:38:19.205,941
2017-08-11  23:43:19.206,952
2017-08-11  23:48:19.208,961
2017-08-11  23:53:19.211,969
2017-08-11  23:58:19.212,978
2017-08-12  00:03:19.215,8
2017-08-12  00:08:19.216,19
2017-08-12  00:13:19.218,30
2017-08-12  00:18:19.254,36
2017-08-12  00:23:19.222,51
2017-08-12  00:28:19.227,61
2017-08-12  00:33:19.226,72
2017-08-12  00:38:19.262,80
2017-08-12  00:43:19.264,90
2017-08-12  00:48:19.233,97
2017-08-12  00:53:19.235,105
2017-08-12  00:58:19.274,116
2017-08-12  01:03:19.238,125
2017-08-12  01:08:19.239,135
2017-08-12  01:13:19.241,150
2017-08-12  01:18:19.243,158
2017-08-12  01:23:19.245,167
2017-08-12  01:28:19.281,177
2017-08-12  01:33:19.249,185
2017-08-12  01:38:19.287,195
2017-08-12  01:43:19.253,204
2017-08-12  01:48:19.256,213
2017-08-12  01:53:19.257,223
2017-08-12  01:58:19.259,236
2017-08-12  02:03:19.296,248
2017-08-12  02:08:19.263,255
2017-08-12  02:13:19.264,266
2017-08-12  02:18:19.300,272
2017-08-12  02:23:19.268,281
2017-08-12  02:28:19.270,291
2017-08-12  02:33:19.306,302
2017-08-12  02:38:19.274,309
2017-08-12  02:43:19.276,325
2017-08-12  02:48:19.313,333
2017-08-12  02:53:19.313,342
2017-08-12  02:58:19.281,352
2017-08-12  03:03:19.318,361
2017-08-12  03:08:19.285,370
2017-08-12  03:13:19.320,379
2017-08-12  03:18:19.288,388
2017-08-12  03:23:19.323,396
2017-08-12  03:28:19.324,407
2017-08-12  03:33:19.293,422
2017-08-12  03:38:19.327,431
2017-08-12  03:43:19.330,440
2017-08-12  03:48:19.297,448
2017-08-12  03:53:19.333,458
2017-08-12  03:58:19.302,467
2017-08-12  04:03:19.303,476
2017-08-12  04:08:19.343,485
2017-08-12  04:13:19.307,497
2017-08-12  04:18:19.344,509
2017-08-12  04:23:19.311,517
2017-08-12  04:28:19.313,529
2017-08-12  04:33:19.314,538
2017-08-12  04:38:19.317,547
2017-08-12  04:43:19.318,556
2017-08-12  04:48:19.320,564
2017-08-12  04:53:19.356,573
2017-08-12  04:58:19.323,581
2017-08-12  05:03:19.358,596
2017-08-12  05:08:19.361,606
2017-08-12  05:13:19.363,616
2017-08-12  05:18:19.330,626
2017-08-12  05:23:19.332,633
2017-08-12  05:28:19.334,643
2017-08-12  05:33:19.336,654
2017-08-12  05:38:19.338,662
2017-08-12  05:43:19.339,672
2017-08-12  05:48:19.341,680
2017-08-12  05:53:19.343,689
2017-08-12  05:58:19.346,699
2017-08-12  06:03:19.348,713
2017-08-12  06:08:19.349,719
2017-08-12  06:13:19.385,732
2017-08-12  06:18:19.354,741
2017-08-12  06:23:19.355,751
2017-08-12  06:28:19.357,760
2017-08-12  06:33:19.358,770
2017-08-12  06:38:19.361,780
2017-08-12  06:43:19.363,791
2017-08-12  06:48:19.364,803
2017-08-12  06:53:19.366,809
2017-08-12  06:58:19.368,817
2017-08-12  07:03:19.371,830
2017-08-12  07:08:19.373,838
2017-08-12  07:13:19.375,847
2017-08-12  07:18:19.376,857
2017-08-12  07:23:19.411,870
2017-08-12  07:28:19.414,878
2017-08-12  07:33:19.415,889
