Timestamp,ACC  (BIRD),ACC  (EDYY),ACC  (EGGX),ACC  (EGTT),ACC  (EHAA),ACC  (EISN),ACC  (EKDK),ACC  (ENOS),Total
2017-08-11  18:28:19.084,0,0,0,0,0,0,0,0,0
2017-08-11  18:33:19.087,0,0,0,0,0,0,0,0,0
2017-08-11  18:38:19.090,0,4,0,6,0,0,0,0,10
2017-08-11  18:43:19.092,0,10,0,10,0,0,0,0,20
2017-08-11  18:48:19.093,2,8,6,6,0,0,4,0,26
2017-08-11  18:53:19.095,2,6,6,6,0,0,0,0,20
2017-08-11  18:58:19.097,2,10,0,4,0,0,0,4,20
2017-08-11  19:03:19.099,16,2,0,12,0,0,4,4,38
2017-08-11  19:08:19.101,4,0,4,10,0,0,0,2,20
2017-08-11  19:13:19.102,0,8,4,14,0,0,0,2,28
2017-08-11  19:18:19.104,4,8,4,6,0,0,0,0,22
2017-08-11  19:23:19.107,4,4,5,10,0,0,6,0,29
2017-08-11  19:28:19.109,2,2,0,22,0,0,10,0,36
2017-08-11  19:33:19.111,0,2,1,24,0,2,4,0,33
2017-08-11  19:38:19.112,4,12,15,8,0,0,6,0,45
2017-08-11  19:43:19.149,2,14,1,16,0,3,4,4,44
2017-08-11  19:48:19.117,18,2,4,8,0,3,6,4,45
2017-08-11  19:53:19.119,2,0,5,16,0,1,0,2,26
2017-08-11  19:58:19.121,0,10,8,12,0,2,0,2,34
2017-08-11  20:03:19.123,4,8,8,8,0,1,0,0,29
2017-08-11  20:08:19.125,4,8,3,10,0,0,8,0,33
2017-08-11  20:13:19.126,2,4,4,22,0,0,8,0,40
2017-08-11  20:18:19.128,0,2,4,22,0,0,2,0,30
2017-08-11  20:23:19.130,4,10,13,10,0,2,8,0,47
2017-08-11  20:28:19.166,0,12,3,15,0,1,4,4,39
2017-08-11  20:33:19.168,20,8,10,8,0,3,6,6,61
2017-08-11  20:38:19.135,2,2,7,16,0,3,0,0,30
2017-08-11  20:43:19.136,0,10,8,12,0,2,0,2,34
2017-08-11  20:48:19.137,4,8,6,8,0,1,0,0,27
2017-08-11  20:53:19.173,6,8,3,16,0,0,8,0,41
2017-08-11  20:58:19.142,0,4,4,14,0,0,8,0,30
2017-08-11  21:03:19.144,0,2,4,25,0,1,4,0,36
2017-08-11  21:08:19.146,4,10,15,5,0,1,6,0,41
2017-08-11  21:13:19.148,0,14,1,18,0,1,4,4,42
2017-08-11  21:18:19.186,18,6,8,9,0,4,6,6,57
2017-08-11  21:23:19.153,4,2,7,14,0,2,0,0,29
2017-08-11  21:28:19.154,0,8,8,14,0,2,0,2,34
2017-08-11  21:33:19.156,4,10,8,8,0,1,0,0,31
