Timestamp,IFPL  Messages  (average)
2017-08-11  18:28:19.084,0
2017-08-11  18:33:19.087,0
2017-08-11  18:38:19.090,353
2017-08-11  18:43:19.092,9
2017-08-11  18:48:19.093,11
2017-08-11  18:53:19.095,7
2017-08-11  18:58:19.097,13
2017-08-11  19:03:19.099,9
2017-08-11  19:08:19.101,13
2017-08-11  19:13:19.102,10
2017-08-11  19:18:19.104,6
2017-08-11  19:23:19.107,10
2017-08-11  19:28:19.109,8
2017-08-11  19:33:19.111,12
2017-08-11  19:38:19.112,8
2017-08-11  19:43:19.149,13
2017-08-11  19:48:19.117,10
2017-08-11  19:53:19.119,9
2017-08-11  19:58:19.121,12
2017-08-11  20:03:19.123,8
2017-08-11  20:08:19.125,8
2017-08-11  20:13:19.126,7
2017-08-11  20:18:19.128,13
2017-08-11  20:23:19.130,9
2017-08-11  20:28:19.166,11
2017-08-11  20:33:19.168,11
2017-08-11  20:38:19.135,9
2017-08-11  20:43:19.136,12
2017-08-11  20:48:19.137,8
2017-08-11  20:53:19.173,8
2017-08-11  20:58:19.142,8
2017-08-11  21:03:19.144,12
2017-08-11  21:08:19.146,10
2017-08-11  21:13:19.148,7
2017-08-11  21:18:19.186,15
2017-08-11  21:23:19.153,5
2017-08-11  21:28:19.154,13
2017-08-11  21:33:19.156,12
2017-08-11  21:38:19.159,6
2017-08-11  21:43:19.159,10
2017-08-11  21:48:19.162,7
2017-08-11  21:53:19.164,10
2017-08-11  21:58:19.166,8
2017-08-11  22:03:19.168,14
2017-08-11  22:08:19.204,11
2017-08-11  22:13:19.204,12
2017-08-11  22:18:19.173,8
2017-08-11  22:23:19.176,8
2017-08-11  22:28:19.213,10
2017-08-11  22:33:19.215,8
2017-08-11  22:38:19.182,10
2017-08-11  22:43:19.184,10
2017-08-11  22:48:19.185,11
2017-08-11  22:53:19.223,9
2017-08-11  22:58:19.189,11
2017-08-11  23:03:19.191,10
2017-08-11  23:08:19.193,11
2017-08-11  23:13:19.194,8
2017-08-11  23:18:19.231,7
2017-08-11  23:23:19.199,12
2017-08-11  23:28:19.201,7
2017-08-11  23:33:19.203,10
2017-08-11  23:38:19.205,14
2017-08-11  23:43:19.206,11
2017-08-11  23:48:19.208,9
2017-08-11  23:53:19.211,8
2017-08-11  23:58:19.212,9
2017-08-12  00:03:19.215,8
2017-08-12  00:08:19.216,11
2017-08-12  00:13:19.218,11
2017-08-12  00:18:19.254,6
2017-08-12  00:23:19.222,15
2017-08-12  00:28:19.227,10
2017-08-12  00:33:19.226,11
2017-08-12  00:38:19.262,8
2017-08-12  00:43:19.264,10
2017-08-12  00:48:19.233,7
2017-08-12  00:53:19.235,8
2017-08-12  00:58:19.274,11
2017-08-12  01:03:19.238,9
2017-08-12  01:08:19.239,10
2017-08-12  01:13:19.241,15
2017-08-12  01:18:19.243,8
2017-08-12  01:23:19.245,9
2017-08-12  01:28:19.281,10
2017-08-12  01:33:19.249,8
2017-08-12  01:38:19.287,10
2017-08-12  01:43:19.253,9
2017-08-12  01:48:19.256,9
2017-08-12  01:53:19.257,10
2017-08-12  01:58:19.259,13
2017-08-12  02:03:19.296,12
2017-08-12  02:08:19.263,7
2017-08-12  02:13:19.264,11
2017-08-12  02:18:19.300,6
2017-08-12  02:23:19.268,9
2017-08-12  02:28:19.270,10
2017-08-12  02:33:19.306,11
2017-08-12  02:38:19.274,7
2017-08-12  02:43:19.276,16
2017-08-12  02:48:19.313,8
2017-08-12  02:53:19.313,9
2017-08-12  02:58:19.281,10
2017-08-12  03:03:19.318,9
2017-08-12  03:08:19.285,9
2017-08-12  03:13:19.320,9
2017-08-12  03:18:19.288,9
2017-08-12  03:23:19.323,8
2017-08-12  03:28:19.324,11
2017-08-12  03:33:19.293,15
2017-08-12  03:38:19.327,9
2017-08-12  03:43:19.330,9
2017-08-12  03:48:19.297,8
2017-08-12  03:53:19.333,10
2017-08-12  03:58:19.302,9
2017-08-12  04:03:19.303,9
2017-08-12  04:08:19.343,9
2017-08-12  04:13:19.307,12
2017-08-12  04:18:19.344,12
2017-08-12  04:23:19.311,8
2017-08-12  04:28:19.313,12
2017-08-12  04:33:19.314,9
2017-08-12  04:38:19.317,9
2017-08-12  04:43:19.318,9
2017-08-12  04:48:19.320,8
2017-08-12  04:53:19.356,9
2017-08-12  04:58:19.323,8
2017-08-12  05:03:19.358,15
2017-08-12  05:08:19.361,10
2017-08-12  05:13:19.363,10
2017-08-12  05:18:19.330,10
2017-08-12  05:23:19.332,7
2017-08-12  05:28:19.334,10
2017-08-12  05:33:19.336,11
2017-08-12  05:38:19.338,8
2017-08-12  05:43:19.339,10
2017-08-12  05:48:19.341,8
2017-08-12  05:53:19.343,9
2017-08-12  05:58:19.346,10
2017-08-12  06:03:19.348,14
2017-08-12  06:08:19.349,6
2017-08-12  06:13:19.385,13
2017-08-12  06:18:19.354,9
2017-08-12  06:23:19.355,10
2017-08-12  06:28:19.357,9
2017-08-12  06:33:19.358,10
2017-08-12  06:38:19.361,10
2017-08-12  06:43:19.363,11
2017-08-12  06:48:19.364,12
2017-08-12  06:53:19.366,6
2017-08-12  06:58:19.368,8
2017-08-12  07:03:19.371,13
2017-08-12  07:08:19.373,8
2017-08-12  07:13:19.375,9
2017-08-12  07:18:19.376,10
2017-08-12  07:23:19.411,13
2017-08-12  07:28:19.414,8
2017-08-12  07:33:19.415,11
