Timestamp,IFPL  Messages  (cumulative)
2017-08-11  18:28:19.084,0
2017-08-11  18:33:19.087,0
2017-08-11  18:38:19.090,353
2017-08-11  18:43:19.092,362
2017-08-11  18:48:19.093,373
2017-08-11  18:53:19.095,380
2017-08-11  18:58:19.097,393
2017-08-11  19:03:19.099,402
2017-08-11  19:08:19.101,415
2017-08-11  19:13:19.102,425
2017-08-11  19:18:19.104,431
2017-08-11  19:23:19.107,441
2017-08-11  19:28:19.109,449
2017-08-11  19:33:19.111,461
2017-08-11  19:38:19.112,469
2017-08-11  19:43:19.149,482
2017-08-11  19:48:19.117,492
2017-08-11  19:53:19.119,501
2017-08-11  19:58:19.121,513
2017-08-11  20:03:19.123,521
2017-08-11  20:08:19.125,529
2017-08-11  20:13:19.126,536
2017-08-11  20:18:19.128,549
2017-08-11  20:23:19.130,558
2017-08-11  20:28:19.166,569
2017-08-11  20:33:19.168,580
2017-08-11  20:38:19.135,589
2017-08-11  20:43:19.136,601
2017-08-11  20:48:19.137,609
2017-08-11  20:53:19.173,617
2017-08-11  20:58:19.142,625
2017-08-11  21:03:19.144,637
2017-08-11  21:08:19.146,647
2017-08-11  21:13:19.148,654
2017-08-11  21:18:19.186,669
2017-08-11  21:23:19.153,674
2017-08-11  21:28:19.154,687
2017-08-11  21:33:19.156,699
2017-08-11  21:38:19.159,705
2017-08-11  21:43:19.159,715
2017-08-11  21:48:19.162,722
2017-08-11  21:53:19.164,732
2017-08-11  21:58:19.166,740
2017-08-11  22:03:19.168,754
2017-08-11  22:08:19.204,765
2017-08-11  22:13:19.204,777
2017-08-11  22:18:19.173,785
2017-08-11  22:23:19.176,793
2017-08-11  22:28:19.213,803
2017-08-11  22:33:19.215,811
2017-08-11  22:38:19.182,821
2017-08-11  22:43:19.184,831
2017-08-11  22:48:19.185,842
2017-08-11  22:53:19.223,851
2017-08-11  22:58:19.189,862
2017-08-11  23:03:19.191,872
2017-08-11  23:08:19.193,883
2017-08-11  23:13:19.194,891
2017-08-11  23:18:19.231,898
2017-08-11  23:23:19.199,910
2017-08-11  23:28:19.201,917
2017-08-11  23:33:19.203,927
2017-08-11  23:38:19.205,941
2017-08-11  23:43:19.206,952
2017-08-11  23:48:19.208,961
2017-08-11  23:53:19.211,969
2017-08-11  23:58:19.212,978
2017-08-12  00:03:19.215,986
2017-08-12  00:08:19.216,997
2017-08-12  00:13:19.218,1008
2017-08-12  00:18:19.254,1014
2017-08-12  00:23:19.222,1029
2017-08-12  00:28:19.227,1039
2017-08-12  00:33:19.226,1050
2017-08-12  00:38:19.262,1058
2017-08-12  00:43:19.264,1068
2017-08-12  00:48:19.233,1075
2017-08-12  00:53:19.235,1083
2017-08-12  00:58:19.274,1094
2017-08-12  01:03:19.238,1103
2017-08-12  01:08:19.239,1113
2017-08-12  01:13:19.241,1128
2017-08-12  01:18:19.243,1136
2017-08-12  01:23:19.245,1145
2017-08-12  01:28:19.281,1155
2017-08-12  01:33:19.249,1163
2017-08-12  01:38:19.287,1173
2017-08-12  01:43:19.253,1182
2017-08-12  01:48:19.256,1191
2017-08-12  01:53:19.257,1201
2017-08-12  01:58:19.259,1214
2017-08-12  02:03:19.296,1226
2017-08-12  02:08:19.263,1233
2017-08-12  02:13:19.264,1244
2017-08-12  02:18:19.300,1250
2017-08-12  02:23:19.268,1259
2017-08-12  02:28:19.270,1269
2017-08-12  02:33:19.306,1280
2017-08-12  02:38:19.274,1287
2017-08-12  02:43:19.276,1303
2017-08-12  02:48:19.313,1311
2017-08-12  02:53:19.313,1320
2017-08-12  02:58:19.281,1330
2017-08-12  03:03:19.318,1339
2017-08-12  03:08:19.285,1348
2017-08-12  03:13:19.320,1357
2017-08-12  03:18:19.288,1366
2017-08-12  03:23:19.323,1374
2017-08-12  03:28:19.324,1385
2017-08-12  03:33:19.293,1400
2017-08-12  03:38:19.327,1409
2017-08-12  03:43:19.330,1418
2017-08-12  03:48:19.297,1426
2017-08-12  03:53:19.333,1436
2017-08-12  03:58:19.302,1445
2017-08-12  04:03:19.303,1454
2017-08-12  04:08:19.343,1463
2017-08-12  04:13:19.307,1475
2017-08-12  04:18:19.344,1487
2017-08-12  04:23:19.311,1495
2017-08-12  04:28:19.313,1507
2017-08-12  04:33:19.314,1516
2017-08-12  04:38:19.317,1525
2017-08-12  04:43:19.318,1534
2017-08-12  04:48:19.320,1542
2017-08-12  04:53:19.356,1551
2017-08-12  04:58:19.323,1559
2017-08-12  05:03:19.358,1574
2017-08-12  05:08:19.361,1584
2017-08-12  05:13:19.363,1594
2017-08-12  05:18:19.330,1604
2017-08-12  05:23:19.332,1611
2017-08-12  05:28:19.334,1621
2017-08-12  05:33:19.336,1632
2017-08-12  05:38:19.338,1640
2017-08-12  05:43:19.339,1650
2017-08-12  05:48:19.341,1658
2017-08-12  05:53:19.343,1667
2017-08-12  05:58:19.346,1677
2017-08-12  06:03:19.348,1691
2017-08-12  06:08:19.349,1697
2017-08-12  06:13:19.385,1710
2017-08-12  06:18:19.354,1719
2017-08-12  06:23:19.355,1729
2017-08-12  06:28:19.357,1738
2017-08-12  06:33:19.358,1748
2017-08-12  06:38:19.361,1758
2017-08-12  06:43:19.363,1769
2017-08-12  06:48:19.364,1781
2017-08-12  06:53:19.366,1787
2017-08-12  06:58:19.368,1795
2017-08-12  07:03:19.371,1808
2017-08-12  07:08:19.373,1816
