Timestamp,MTCD_CREATION_UPDATE_EVENT,MTCD_DELETE_EVENT
2017-08-11  18:28:19.084,0,0
2017-08-11  18:28:49.085,0,0
2017-08-11  18:29:19.085,0,0
2017-08-11  18:29:49.085,0,0
2017-08-11  18:30:19.086,0,0
2017-08-11  18:30:49.086,0,0
2017-08-11  18:31:19.086,0,0
2017-08-11  18:31:49.086,0,0
2017-08-11  18:32:19.087,0,0
2017-08-11  18:32:49.086,0,0
2017-08-11  18:33:19.087,0,0
2017-08-11  18:33:49.087,0,0
2017-08-11  18:34:19.088,0,0
2017-08-11  18:34:49.088,0,0
2017-08-11  18:35:19.088,0,0
2017-08-11  18:35:49.088,0,0
2017-08-11  18:36:19.089,0,0
2017-08-11  18:36:49.089,0,0
2017-08-11  18:37:19.089,0,0
2017-08-11  18:37:49.089,0,0
2017-08-11  18:38:19.090,0,0
2017-08-11  18:38:49.089,0,0
2017-08-11  18:39:19.090,0,0
2017-08-11  18:39:49.090,0,0
2017-08-11  18:40:19.091,0,0
2017-08-11  18:40:49.091,0,0
2017-08-11  18:41:19.091,0,0
2017-08-11  18:41:49.091,0,0
2017-08-11  18:42:19.091,0,0
2017-08-11  18:42:49.091,0,0
2017-08-11  18:43:19.092,4,1
2017-08-11  18:43:49.092,0,0
2017-08-11  18:44:19.092,0,0
2017-08-11  18:44:49.092,0,0
2017-08-11  18:45:19.093,0,0
2017-08-11  18:45:49.092,0,0
2017-08-11  18:46:19.093,0,0
2017-08-11  18:46:49.093,0,0
2017-08-11  18:47:19.093,0,0
2017-08-11  18:47:49.093,0,0
2017-08-11  18:48:19.093,4,2
2017-08-11  18:48:49.094,0,0
2017-08-11  18:49:19.093,0,0
2017-08-11  18:49:49.095,0,0
2017-08-11  18:50:19.094,0,0
2017-08-11  18:50:49.094,0,0
2017-08-11  18:51:19.128,0,0
2017-08-11  18:51:49.095,0,0
2017-08-11  18:52:19.096,0,0
2017-08-11  18:52:49.095,0,0
2017-08-11  18:53:19.095,5,2
2017-08-11  18:53:49.095,0,0
2017-08-11  18:54:19.095,0,0
2017-08-11  18:54:49.096,0,0
2017-08-11  18:55:19.096,0,0
2017-08-11  18:55:49.096,0,0
2017-08-11  18:56:19.132,0,0
2017-08-11  18:56:49.097,0,0
2017-08-11  18:57:19.097,0,0
2017-08-11  18:57:49.097,0,0
2017-08-11  18:58:19.097,5,1
2017-08-11  18:58:49.097,0,0
2017-08-11  18:59:19.097,0,0
2017-08-11  18:59:49.097,0,0
2017-08-11  19:00:19.098,0,0
2017-08-11  19:00:49.098,0,0
2017-08-11  19:01:19.132,0,0
2017-08-11  19:01:49.098,0,0
2017-08-11  19:02:19.099,0,0
2017-08-11  19:02:49.099,0,0
2017-08-11  19:03:19.099,0,0
2017-08-11  19:03:49.099,0,0
2017-08-11  19:04:19.100,0,0
2017-08-11  19:04:49.099,0,0
2017-08-11  19:05:19.100,0,0
2017-08-11  19:05:49.100,0,0
2017-08-11  19:06:19.101,0,0
2017-08-11  19:06:49.100,0,0
2017-08-11  19:07:19.100,0,0
2017-08-11  19:07:49.100,0,0
2017-08-11  19:08:19.101,5,1
2017-08-11  19:08:49.101,0,0
2017-08-11  19:09:19.101,0,0
2017-08-11  19:09:49.101,0,0
2017-08-11  19:10:19.101,0,0
2017-08-11  19:10:49.102,0,0
2017-08-11  19:11:19.136,0,0
2017-08-11  19:11:49.102,0,0
2017-08-11  19:12:19.141,0,0
2017-08-11  19:12:49.142,0,0
2017-08-11  19:13:19.102,10,1
2017-08-11  19:13:49.103,0,0
2017-08-11  19:14:19.136,0,0
2017-08-11  19:14:49.103,0,0
2017-08-11  19:15:19.138,0,0
2017-08-11  19:15:49.104,0,0
2017-08-11  19:16:19.139,0,0
2017-08-11  19:16:49.103,0,0
2017-08-11  19:17:19.137,0,0
2017-08-11  19:17:49.105,0,0
2017-08-11  19:18:19.104,11,1
2017-08-11  19:18:49.105,0,0
2017-08-11  19:19:19.105,0,0
2017-08-11  19:19:49.105,0,0
2017-08-11  19:20:19.105,0,0
2017-08-11  19:20:49.142,0,0
2017-08-11  19:21:19.106,0,0
2017-08-11  19:21:49.105,0,0
2017-08-11  19:22:19.106,0,0
2017-08-11  19:22:49.107,0,0
2017-08-11  19:23:19.107,14,0
2017-08-11  19:23:49.106,0,0
2017-08-11  19:24:19.107,0,0
2017-08-11  19:24:49.106,0,0
2017-08-11  19:25:19.107,0,0
2017-08-11  19:25:49.107,0,0
2017-08-11  19:26:19.142,0,0
2017-08-11  19:26:49.107,0,0
2017-08-11  19:27:19.107,0,0
2017-08-11  19:27:49.143,0,0
2017-08-11  19:28:19.109,30,11
2017-08-11  19:28:49.143,0,0
2017-08-11  19:29:19.109,0,0
2017-08-11  19:29:49.109,0,0
2017-08-11  19:30:19.109,0,0
2017-08-11  19:30:49.110,0,0
2017-08-11  19:31:19.145,0,0
2017-08-11  19:31:49.110,0,0
2017-08-11  19:32:19.110,0,0
2017-08-11  19:32:49.110,0,0
2017-08-11  19:33:19.111,40,10
2017-08-11  19:33:49.111,0,0
2017-08-11  19:34:19.111,0,0
2017-08-11  19:34:49.112,0,0
2017-08-11  19:35:19.112,0,0
2017-08-11  19:35:49.112,0,0
2017-08-11  19:36:19.112,0,0
2017-08-11  19:36:49.112,0,0
2017-08-11  19:37:19.112,0,0
2017-08-11  19:37:49.112,0,0
2017-08-11  19:38:19.112,22,5
2017-08-11  19:38:49.113,0,0
2017-08-11  19:39:19.113,0,0
2017-08-11  19:39:49.113,0,0
2017-08-11  19:40:19.114,0,0
2017-08-11  19:40:49.113,0,0
2017-08-11  19:41:19.114,0,0
2017-08-11  19:41:49.114,0,0
2017-08-11  19:42:19.114,0,0
2017-08-11  19:42:49.114,0,0
2017-08-11  19:43:19.149,44,5
2017-08-11  19:43:49.114,0,0
2017-08-11  19:44:19.115,0,0
2017-08-11  19:44:49.148,0,0
2017-08-11  19:45:19.116,0,0
2017-08-11  19:45:49.151,0,0
2017-08-11  19:46:19.116,0,0
2017-08-11  19:46:49.117,0,0
2017-08-11  19:47:19.151,0,0
2017-08-11  19:47:49.154,0,0
2017-08-11  19:48:19.117,41,6
2017-08-11  19:48:49.151,0,0
2017-08-11  19:49:19.117,0,0
2017-08-11  19:49:49.117,0,0
2017-08-11  19:50:19.118,0,0
2017-08-11  19:50:49.118,0,0
2017-08-11  19:51:19.152,0,0
2017-08-11  19:51:49.118,0,0
2017-08-11  19:52:19.118,0,0
2017-08-11  19:52:49.119,0,0
2017-08-11  19:53:19.119,20,2
2017-08-11  19:53:49.119,0,0
2017-08-11  19:54:19.120,0,0
2017-08-11  19:54:49.119,0,0
2017-08-11  19:55:19.120,0,0
2017-08-11  19:55:49.120,0,0
2017-08-11  19:56:19.120,0,0
2017-08-11  19:56:49.121,0,0
2017-08-11  19:57:19.121,0,0
2017-08-11  19:57:49.121,0,0
2017-08-11  19:58:19.121,32,10
2017-08-11  19:58:49.155,0,0
2017-08-11  19:59:19.121,0,0
2017-08-11  19:59:49.121,0,0
2017-08-11  20:00:19.122,0,0
2017-08-11  20:00:49.122,0,0
2017-08-11  20:01:19.122,0,0
2017-08-11  20:01:49.122,0,0
2017-08-11  20:02:19.122,0,0
2017-08-11  20:02:49.157,0,0
2017-08-11  20:03:19.123,33,1
2017-08-11  20:03:49.123,0,0
2017-08-11  20:04:19.123,0,0
2017-08-11  20:04:49.123,0,0
2017-08-11  20:05:19.123,0,0
2017-08-11  20:05:49.124,0,0
2017-08-11  20:06:19.124,0,0
2017-08-11  20:06:49.124,0,0
2017-08-11  20:07:19.124,0,0
2017-08-11  20:07:49.124,0,0
2017-08-11  20:08:19.125,46,11
2017-08-11  20:08:49.158,0,0
2017-08-11  20:09:19.124,0,0
2017-08-11  20:09:49.157,0,0
2017-08-11  20:10:19.157,0,0
2017-08-11  20:10:49.158,0,0
2017-08-11  20:11:19.125,0,0
2017-08-11  20:11:49.125,0,0
2017-08-11  20:12:19.126,0,0
2017-08-11  20:12:49.126,0,0
2017-08-11  20:13:19.126,57,11
2017-08-11  20:13:49.126,0,0
2017-08-11  20:14:19.126,0,0
2017-08-11  20:14:49.126,0,0
2017-08-11  20:15:19.126,0,0
2017-08-11  20:15:49.126,0,0
2017-08-11  20:16:19.126,0,0
2017-08-11  20:16:49.127,0,0
2017-08-11  20:17:19.128,0,0
2017-08-11  20:17:49.127,0,0
2017-08-11  20:18:19.128,132,29
2017-08-11  20:18:49.161,0,0
2017-08-11  20:19:19.128,0,0
2017-08-11  20:19:49.128,0,0
2017-08-11  20:20:19.128,0,0
2017-08-11  20:20:49.162,0,0
2017-08-11  20:21:19.129,0,0
2017-08-11  20:21:49.128,0,0
2017-08-11  20:22:19.164,0,0
2017-08-11  20:22:49.130,0,0
2017-08-11  20:23:19.130,38,16
2017-08-11  20:23:49.167,0,0
2017-08-11  20:24:19.163,0,0
2017-08-11  20:24:49.129,0,0
2017-08-11  20:25:19.166,0,0
2017-08-11  20:25:49.130,0,0
2017-08-11  20:26:19.130,0,0
2017-08-11  20:26:49.166,0,0
2017-08-11  20:27:19.165,0,0
2017-08-11  20:27:49.131,0,0
2017-08-11  20:28:19.166,13,7
2017-08-11  20:28:49.131,0,0
2017-08-11  20:29:19.131,0,0
2017-08-11  20:29:49.131,0,0
2017-08-11  20:30:19.132,0,0
2017-08-11  20:30:49.132,0,0
2017-08-11  20:31:19.132,0,0
2017-08-11  20:31:49.132,0,0
2017-08-11  20:32:19.169,0,0
2017-08-11  20:32:49.132,0,0
2017-08-11  20:33:19.168,12,3
2017-08-11  20:33:49.133,0,0
2017-08-11  20:34:19.133,0,0
2017-08-11  20:34:49.166,0,0
2017-08-11  20:35:19.168,0,0
2017-08-11  20:35:49.133,0,0
2017-08-11  20:36:19.134,0,0
2017-08-11  20:36:49.168,0,0
2017-08-11  20:37:19.135,0,0
2017-08-11  20:37:49.135,0,0
2017-08-11  20:38:19.135,20,3
2017-08-11  20:38:49.135,0,0
2017-08-11  20:39:19.134,0,0
2017-08-11  20:39:49.135,0,0
2017-08-11  20:40:19.135,0,0
2017-08-11  20:40:49.135,0,0
2017-08-11  20:41:19.136,0,0
2017-08-11  20:41:49.136,0,0
2017-08-11  20:42:19.136,0,0
2017-08-11  20:42:49.136,0,0
2017-08-11  20:43:19.136,20,4
2017-08-11  20:43:49.136,0,0
2017-08-11  20:44:19.170,0,0
2017-08-11  20:44:49.137,0,0
2017-08-11  20:45:19.171,0,0
2017-08-11  20:45:49.137,0,0
2017-08-11  20:46:19.137,0,0
2017-08-11  20:46:49.137,0,0
2017-08-11  20:47:19.137,0,0
2017-08-11  20:47:49.137,0,0
2017-08-11  20:48:19.137,19,2
2017-08-11  20:48:49.137,0,0
2017-08-11  20:49:19.139,0,0
2017-08-11  20:49:49.138,0,0
2017-08-11  20:50:19.172,0,0
2017-08-11  20:50:49.175,0,0
2017-08-11  20:51:19.138,0,0
2017-08-11  20:51:49.139,0,0
2017-08-11  20:52:19.139,0,0
2017-08-11  20:52:49.140,0,0
2017-08-11  20:53:19.173,32,11
2017-08-11  20:53:49.140,0,0
2017-08-11  20:54:19.140,0,0
2017-08-11  20:54:49.175,0,0
2017-08-11  20:55:19.141,0,0
2017-08-11  20:55:49.140,0,0
2017-08-11  20:56:19.140,0,0
2017-08-11  20:56:49.140,0,0
2017-08-11  20:57:19.141,0,0
2017-08-11  20:57:49.141,0,0
2017-08-11  20:58:19.142,44,8
2017-08-11  20:58:49.142,0,0
2017-08-11  20:59:19.141,0,0
2017-08-11  20:59:49.142,0,0
2017-08-11  21:00:19.142,0,0
2017-08-11  21:00:49.142,0,0
2017-08-11  21:01:19.143,0,0
2017-08-11  21:01:49.142,0,0
2017-08-11  21:02:19.144,0,0
2017-08-11  21:02:49.144,0,0
2017-08-11  21:03:19.144,123,22
2017-08-11  21:03:49.144,0,0
2017-08-11  21:04:19.144,0,0
2017-08-11  21:04:49.145,0,0
2017-08-11  21:05:19.145,0,0
2017-08-11  21:05:49.145,0,0
2017-08-11  21:06:19.145,0,0
2017-08-11  21:06:49.146,0,0
2017-08-11  21:07:19.146,0,0
2017-08-11  21:07:49.181,0,0
2017-08-11  21:08:19.146,38,12
2017-08-11  21:08:49.181,0,0
2017-08-11  21:09:19.182,0,0
2017-08-11  21:09:49.146,0,0
2017-08-11  21:10:19.147,0,0
2017-08-11  21:10:49.147,0,0
2017-08-11  21:11:19.147,0,0
2017-08-11  21:11:49.147,0,0
2017-08-11  21:12:19.148,0,0
2017-08-11  21:12:49.148,0,0
2017-08-11  21:13:19.148,59,17
2017-08-11  21:13:49.148,0,0
2017-08-11  21:14:19.148,0,0
2017-08-11  21:14:49.149,0,0
2017-08-11  21:15:19.148,0,0
2017-08-11  21:15:49.149,0,0
2017-08-11  21:16:19.149,0,0
2017-08-11  21:16:49.149,0,0
2017-08-11  21:17:19.185,0,0
2017-08-11  21:17:49.150,0,0
2017-08-11  21:18:19.186,45,11
2017-08-11  21:18:49.151,0,0
2017-08-11  21:19:19.151,0,0
2017-08-11  21:19:49.151,0,0
2017-08-11  21:20:19.151,0,0
2017-08-11  21:20:49.151,0,0
2017-08-11  21:21:19.152,0,0
2017-08-11  21:21:49.151,0,0
2017-08-11  21:22:19.152,0,0
2017-08-11  21:22:49.151,0,0
2017-08-11  21:23:19.153,25,4
2017-08-11  21:23:49.152,0,0
2017-08-11  21:24:19.153,0,0
2017-08-11  21:24:49.153,0,0
2017-08-11  21:25:19.153,0,0
2017-08-11  21:25:49.153,0,0
2017-08-11  21:26:19.154,0,0
2017-08-11  21:26:49.154,0,0
2017-08-11  21:27:19.153,0,0
2017-08-11  21:27:49.189,0,0
2017-08-11  21:28:19.154,35,5
2017-08-11  21:28:49.153,0,0
2017-08-11  21:29:19.154,0,0
2017-08-11  21:29:49.154,0,0
2017-08-11  21:30:19.155,0,0
2017-08-11  21:30:49.155,0,0
2017-08-11  21:31:19.155,0,0
2017-08-11  21:31:49.189,0,0
2017-08-11  21:32:19.156,0,0
2017-08-11  21:32:49.156,0,0
2017-08-11  21:33:19.156,28,4
2017-08-11  21:33:49.156,0,0
2017-08-11  21:34:19.156,0,0
2017-08-11  21:34:49.156,0,0
2017-08-11  21:35:19.157,0,0
2017-08-11  21:35:49.158,0,0
2017-08-11  21:36:19.158,0,0
2017-08-11  21:36:49.157,0,0
2017-08-11  21:37:19.157,0,0
2017-08-11  21:37:49.158,0,0
2017-08-11  21:38:19.159,47,11
2017-08-11  21:38:49.159,0,0
2017-08-11  21:39:19.159,0,0
2017-08-11  21:39:49.158,0,0
2017-08-11  21:40:19.159,0,0
2017-08-11  21:40:49.193,0,0
2017-08-11  21:41:19.159,0,0
2017-08-11  21:41:49.159,0,0
2017-08-11  21:42:19.159,0,0
2017-08-11  21:42:49.160,0,0
2017-08-11  21:43:19.159,60,9
2017-08-11  21:43:49.160,0,0
2017-08-11  21:44:19.161,0,0
2017-08-11  21:44:49.161,0,0
2017-08-11  21:45:19.161,0,0
2017-08-11  21:45:49.196,0,0
2017-08-11  21:46:19.162,0,0
2017-08-11  21:46:49.198,0,0
2017-08-11  21:47:19.161,0,0
2017-08-11  21:47:49.197,0,0
2017-08-11  21:48:19.162,123,23
2017-08-11  21:48:49.162,0,0
2017-08-11  21:49:19.162,0,0
2017-08-11  21:49:49.163,0,0
2017-08-11  21:50:19.162,0,0
2017-08-11  21:50:49.163,0,0
2017-08-11  21:51:19.163,0,0
2017-08-11  21:51:49.163,0,0
2017-08-11  21:52:19.198,0,0
2017-08-11  21:52:49.163,0,0
2017-08-11  21:53:19.164,42,15
2017-08-11  21:53:49.164,0,0
2017-08-11  21:54:19.200,0,0
2017-08-11  21:54:49.164,0,0
2017-08-11  21:55:19.164,0,0
2017-08-11  21:55:49.165,0,0
2017-08-11  21:56:19.193,0,0
2017-08-11  21:56:49.165,0,0
2017-08-11  21:57:19.166,0,0
2017-08-11  21:57:49.165,0,0
2017-08-11  21:58:19.166,73,13
2017-08-11  21:58:49.166,0,0
2017-08-11  21:59:19.166,0,0
2017-08-11  21:59:49.166,0,0
2017-08-11  22:00:19.167,0,0
2017-08-11  22:00:49.202,0,0
2017-08-11  22:01:19.167,0,0
2017-08-11  22:01:49.168,0,0
2017-08-11  22:02:19.167,0,0
2017-08-11  22:02:49.199,0,0
