Date,Number  of  Flights
2017-08-11  18:36:24,172
2017-08-11  18:41:25,178
2017-08-11  18:46:25,184
2017-08-11  18:51:25,186
2017-08-11  18:56:25,194
2017-08-11  19:01:25,200
2017-08-11  19:06:25,208
2017-08-11  19:11:25,212
2017-08-11  19:16:25,212
2017-08-11  19:21:25,216
2017-08-11  19:26:25,220
2017-08-11  19:31:25,226
2017-08-11  19:36:25,231
2017-08-11  19:41:25,239
2017-08-11  19:46:25,246
2017-08-11  19:51:25,250
2017-08-11  19:56:25,257
2017-08-11  20:01:25,258
2017-08-11  20:06:25,260
2017-08-11  20:11:25,266
2017-08-11  20:16:26,271
2017-08-11  20:21:26,277
2017-08-11  20:26:26,281
2017-08-11  20:31:26,289
2017-08-11  20:36:26,292
2017-08-11  20:41:26,300
2017-08-11  20:46:26,301
2017-08-11  20:51:26,301
2017-08-11  20:56:26,307
2017-08-11  21:01:26,306
2017-08-11  21:06:26,313
2017-08-11  21:11:26,314
2017-08-11  21:16:26,319
2017-08-11  21:21:26,324
2017-08-11  21:26:26,326
2017-08-11  21:31:26,329
2017-08-11  21:36:26,330
2017-08-11  21:41:26,334
2017-08-11  21:46:26,331
2017-08-11  21:51:26,335
2017-08-11  21:56:27,338
2017-08-11  22:01:27,342
2017-08-11  22:06:27,349
2017-08-11  22:11:27,352
2017-08-11  22:16:27,352
2017-08-11  22:21:27,354
2017-08-11  22:26:27,358
2017-08-11  22:31:27,355
2017-08-11  22:36:27,360
2017-08-11  22:41:27,364
2017-08-11  22:46:27,369
2017-08-11  22:51:27,373
2017-08-11  22:56:27,375
2017-08-11  23:01:27,376
2017-08-11  23:06:27,380
2017-08-11  23:11:27,382
2017-08-11  23:16:27,381
2017-08-11  23:21:27,383
2017-08-11  23:26:28,389
2017-08-11  23:31:28,389
2017-08-11  23:36:28,396
2017-08-11  23:41:28,399
2017-08-11  23:46:28,402
2017-08-11  23:51:28,402
2017-08-11  23:56:28,407
2017-08-12  0:01:28,407
2017-08-12  0:06:28,408
2017-08-12  0:11:28,411
2017-08-12  0:16:28,413
2017-08-12  0:21:28,419
2017-08-12  0:26:28,425
2017-08-12  0:31:28,425
2017-08-12  0:36:28,415
2017-08-12  0:41:28,421
2017-08-12  0:46:28,422
2017-08-12  0:51:28,419
2017-08-12  0:56:28,421
2017-08-12  1:01:29,423
2017-08-12  1:06:29,427
2017-08-12  1:11:29,434
2017-08-12  1:16:29,434
2017-08-12  1:21:29,435
2017-08-12  1:26:29,441
2017-08-12  1:31:29,440
2017-08-12  1:36:29,439
2017-08-12  1:41:29,441
2017-08-12  1:46:29,445
2017-08-12  1:51:29,447
2017-08-12  1:56:29,453
2017-08-12  2:01:29,451
2017-08-12  2:06:29,454
2017-08-12  2:11:29,458
2017-08-12  2:16:29,461
2017-08-12  2:21:29,461
2017-08-12  2:26:29,459
2017-08-12  2:31:29,464
2017-08-12  2:36:30,466
2017-08-12  2:41:30,471
2017-08-12  2:46:30,473
2017-08-12  2:51:30,474
2017-08-12  2:56:30,478
2017-08-12  3:01:30,482
2017-08-12  3:06:30,481
2017-08-12  3:11:30,481
2017-08-12  3:16:30,483
2017-08-12  3:21:30,485
2017-08-12  3:26:30,488
2017-08-12  3:31:30,493
2017-08-12  3:36:30,492
2017-08-12  3:41:30,496
2017-08-12  3:46:30,500
2017-08-12  3:51:30,502
2017-08-12  3:56:30,502
2017-08-12  4:01:30,501
2017-08-12  4:06:31,505
2017-08-12  4:11:31,509
2017-08-12  4:16:31,513
2017-08-12  4:21:31,513
2017-08-12  4:26:31,515
2017-08-12  4:31:31,518
2017-08-12  4:36:31,522
2017-08-12  4:41:31,523
2017-08-12  4:46:31,519
2017-08-12  4:51:31,526
2017-08-12  4:56:31,525
2017-08-12  5:01:31,527
2017-08-12  5:06:31,531
2017-08-12  5:11:31,532
2017-08-12  5:16:31,538
2017-08-12  5:21:31,539
2017-08-12  5:26:31,542
2017-08-12  5:31:31,537
2017-08-12  5:36:31,542
2017-08-12  5:41:32,544
2017-08-12  5:46:32,547
2017-08-12  5:51:32,549
2017-08-12  5:56:32,548
2017-08-12  6:01:32,553
2017-08-12  6:06:32,556
2017-08-12  6:11:32,558
2017-08-12  6:16:32,558
2017-08-12  6:21:32,559
2017-08-12  6:26:32,563
2017-08-12  6:31:32,562
2017-08-12  6:36:32,568
2017-08-12  6:41:32,567
